0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
2.1.7.4 : 295,296
2.1.7.5 : 296
2.1.7.6 : 296,297
2.1.7.7 : 297
2.1.7.8 : 297,298
2.1.8.1 : 298
2.1.8.2 : 298,299
2.1.8.3 : 300
2.1.8.4 : 300
2.1.8.5 : 300,301
2.1.8.6 : 301
2.1.8.7 : 301,302
2.1.8.8 : 302,303
2.1.8.9 : 303
2.1.9.1 : 303,304
2.1.9.2 : 304
2.1.9.3 : 304,305
2.1.9.4 : 305
2.1.9.5 : 305,306
2.1.9.6 : 306
2.1.9.7 : 306
2.1.9.8 : 307
2.1.9.9 : 307
2.1.9.10 : 307
2.1.9.11 : 307,308
2.1.9.12 : 308
2.1.9.13 : 308,309
2.1.9.13n56 : 308
2.1.10.1 : 309,310
2.1.10.2 : 310,311
2.1.10.3 : 311
2.1.10.4 : 311,312
2.1.10.5 : 312
2.1.10.6 : 312,313
2.1.10.7 : 313,314
2.1.10.8 : 314
2.1.10.9 : 314,315
2.1.10.10 : 315
2.1.10.11 : 315
2.1.10.12 : 315,316
2.1.10.9n57 : 314
2.1.11.1 : 316
2.1.11.2 : 316,317
2.1.11.3 : 317
2.1.11.4 : 317,318
2.1.11.5 : 318
2.1.11.6 : 318
2.1.11.7 : 318,319
2.1.11.8 : 319,320
2.1.11.9 : 320,321
2.1.11.10 : 321
2.1.11.11 : 321
2.1.11.12 : 321,322
2.1.11.13 : 322
2.1.11.14 : 322
2.1.11.15 : 322
2.1.11.16 : 322,323
2.1.11.17 : 323
2.1.11.18 : 323,324
2.1.11.19 : 324
2.1.11.6n58 : 318
2.1.11.9n59 : 321
2.1.12.1 : 324,325
2.1.12.2 : 325,326
2.1.12.3 : 326
2.1.12.4 : 326
2.1.12.5 : 326,327
2.1.12.6 : 327
2.1.12.7 : 327
2.1.12.8 : 327
2.1.12.9 : 327,328
2.2.1.1 : 329
2.2.1.2 : 329,330
2.2.1.3 : 330
2.2.1.4 : 330
2.2.1.5 : 330
2.2.1.6 : 330,331
2.2.1.7 : 331
2.2.1.8 : 331
2.2.1.9 : 331,332
2.2.2.1 : 332
